1a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       01011       |5.99994  |    4    |    3
2   |       10111       |15.6009  |    7    |    7
3   |       01011       |5.99994  |   12    |    2
4   |       11011       |7.44154  |   13    |   14
5   |       01100       |4.78329  |    8    |   12
6   |       01000       |1.00356  |   15    |   16
7   |       01001       |1.65829  |   10    |   11
8   |       00010       |1.03118  |    5    |    1
9   |       11000       |17.3608  |   14    |   10
10   |       00110       |0.581198  |    3    |   13
11   |       00010       |1.03118  |    9    |   15
12   |       11101       |17.9592  |   16    |    6
13   |       00001       |1.40772  |   11    |    4
14   |       11010       |7.60165  |    6    |    8
15   |       01011       |5.99994  |    1    |    5
16   |       11011       |7.44154  |    2    |    9


10a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       01111       |3.77318  |    9    |    3
2   |       00001       |1.40772  |    3    |    1
3   |       00100       |0.804377  |    2    |    5
4   |       10111       |15.6009  |   15    |   16
5   |       10110       |8.53779  |   16    |    9
6   |       00010       |1.03118  |    4    |   10
7   |       11100       |10.1281  |   11    |   12
8   |       01010       |3.43412  |   10    |    2
9   |       01010       |3.43412  |    7    |   14
10   |       11011       |7.44154  |    6    |    4
11   |       10110       |8.53779  |    5    |   11
12   |       00011       |0.934091  |    8    |   15
13   |       10111       |15.6009  |   12    |    7
14   |       10101       |5.64045  |   14    |    8
15   |       01111       |3.77318  |    1    |   13
16   |       11000       |17.3608  |   13    |    6


1a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       01011       |5.99994  |    4    |    3
2   |       10111       |15.6009  |    7    |    7
3   |       01011       |5.99994  |   12    |    2
4   |       11011       |7.44154  |   13    |   14
5   |       01100       |4.78329  |    8    |   12
6   |       01000       |1.00356  |   15    |   16
7   |       01001       |1.65829  |   10    |   11
8   |       00010       |1.03118  |    5    |    1
9   |       11000       |17.3608  |   14    |   10
10   |       00110       |0.581198  |    3    |   13
11   |       00010       |1.03118  |    9    |   15
12   |       11101       |17.9592  |   16    |    6
13   |       00001       |1.40772  |   11    |    4
14   |       11010       |7.60165  |    6    |    8
15   |       01011       |5.99994  |    1    |    5
16   |       11011       |7.44154  |    2    |    9


100a generacion | Tabla de seleccion de padres
No. | Poblacion Inicial | Aptitud |Barajeo 1| Barajeo 2
1   |       01000       |1.00356  |    3    |    7
2   |       00110       |0.581198  |    7    |   14
3   |       10010       |10.4082  |    1    |    5
4   |       01111       |3.77318  |   13    |    6
5   |       10000       |6.42487  |    5    |   16
6   |       11111       |16.2911  |    8    |   11
7   |       11100       |10.1281  |   11    |   15
8   |       11010       |7.60165  |   16    |    4
9   |       00010       |1.03118  |    2    |   10
10   |       00101       |      0  |   10    |   13
11   |       10010       |10.4082  |   12    |    1
12   |       10010       |10.4082  |   14    |    2
13   |       10101       |5.64045  |   15    |    8
14   |       11000       |17.3608  |    4    |    9
15   |       11111       |16.2911  |    6    |    3
16   |       01001       |1.65829  |    9    |   12


